id,Task,Start-Month,Start-Day,Start-Year,Due-Month,Due-Day,Due-Year,Color,Complete?,Repeat Increment
1,Return DVDs,,,,4,15,2017,Silver,,7
2,Nordic TLG,4,10,2017,4,10,2017,PaleGreen,Yes,7
3,Nordic Progress Report,4,14,2017,4,14,2017,PaleGreen,,7
4,Laundry,,,,4,12,2017,Silver,,
5,Run Rey,4,3,2017,,,,Silver,,
6,File Taxes,,,,4,18,2017,Aqua,,
7,Buy New PC,,,,,,,Aqua,,
8,Decide About Sarah's Wedding,3,30,2017,,,,Aqua,,
9,Empty Storage Unit,,,,,,,Aqua,,
10,Nordic TLG,4,17,2017,4,17,2017,PaleGreen,,7
11,Aetna Build,4,10,2017,4,14,2017,PaleGreen,,
